Year,Artist,Album,Song,Co-written with
2018,Ariana Grande,Sweetener,"""God Is a Woman""","Ariana Grande, Savan Kotecha, Ilya Salmanzadeh, Rickard Göransson"
2018,Ariana Grande,Sweetener,"""Everytime""","Ariana Grande, Savan Kotecha, Ilya Salmanzadeh"
2018,PrettyMuch,PRETTYMUCH So Far...,"""No More"" (featuring French Montana)","Ludvig Söderberg, Oscar Görres, Peter Svensson, Savan Kotecha, Zion Kuwonu, Austin Porter, Brandon Arreaga, Edwin Honoret, Nick Mara, Karim Kharbouch"
2019,Ariana Grande,"Thank U, Next","""Bloodline""","Ariana Grande, Savan Kotecha, Ilya Salmanzadeh"
2019,Ariana Grande,"Thank U, Next","""Bad Idea""","Ariana Grande, Savan Kotecha, Ilya Salmanzadeh"
2019,Ariana Grande,"Thank U, Next","""Ghostin""","Ariana Grande, Victoria Monét, Savan Kotecha, Ilya Salmanzadeh"
2019,Ariana Grande,"Thank U, Next","""Break Up with Your Girlfriend, I'm Bored""","Ariana Grande, Savan Kotecha, Ilya Salmanzadeh, Kevin Briggs, Kandi Burruss-Tucker"
2019,Pink,Hurts 2B Human,"""(Hey Why) Miss You Sometime""","Alecia Moore, Johan Schuster"
2019,Ed Sheeran and Justin Bieber,TBA,"""I Don't Care""","Ed Sheeran, Fred Gibson, Jason Boyd, Justin Bieber, Johan Schuster"
1994,Army of Lovers,"Glory, Glamour & Gold","""Sexual Revolution""",Denniz Pop
1994,E-Type,Made in Sweden,"""This Is the Way""",Denniz Pop
1994,E-Type,Made in Sweden,"""Fight It Back""",Denniz Pop
1994,E-Type,Made in Sweden,"""Do You Always (Have to Be Alone)?""",Amadin
1994,E-Type,Made in Sweden,"""Russian Lullaby""",E-Type
1994,E-Type,Made in Sweden,"""Me No Want Miseria (Take Me to the End)""",Denniz Pop
1995,3T,Brotherhood,"""It's Gotta Be You""",Denniz Pop
1995,3T,Brotherhood,"""I Need You""",Denniz Pop
1995,Ace of Base,The Bridge,"""Beautiful Life""",Denniz Pop
1995,Ace of Base,The Bridge,"""Never Gonna Say I'm Sorry""",Denniz Pop
1995,Ace of Base,The Bridge,"""Lucky Love""",Denniz Pop
1995,Ace of Base,The Bridge,"""Blooming 18""",Denniz Pop
1995,Herbie,Fingers,"""Right Type of Mood""",Denniz Pop
1995,Herbie,Fingers,"""Pick It Up""",Denniz Pop
1995,Herbie,Fingers,"""Big Funky Dealer""",Denniz Pop
1995,Herbie,Fingers,"""I Believe""",Denniz Pop
1995,Herbie,Fingers,"""Rainbow Child""",Denniz Pop
1995,Herbie,Fingers,"""Come Together""",Denniz Pop
1995,Herbie,Fingers,"""The Skank""",Denniz Pop
1995,Herbie,Fingers,"""Gangs to the Max""",Denniz Pop
1995,Herbie,Fingers,"""Change""",Denniz Pop
1995,Leila K,,"""Electric""",
1995,Rednex,Sex & Violins,"""Wish You Were Here""",Denniz Pop
1996,Backstreet Boys,Backstreet Boys,"""Quit Playing Games (With My Heart)""",Kristian Lundin
1996,Backstreet Boys,Backstreet Boys,"""I Wanna Be with You""",Denniz Pop
1996,Backstreet Boys,Backstreet Boys,"""Nobody But You""",Denniz Pop
1996,Backstreet Boys,Backstreet Boys,"""We've Got It Going On""",Denniz Pop
1996,E-Type,The Explorer,"""Free Like a Flying Demon""",Denniz Pop
1996,E-Type,The Explorer,"""I'm Not Alone""","Denniz Pop, E-Type"
1996,E-Type,The Explorer,"""We Gotta Go""",Denniz Pop
1996,E-Type,The Explorer,"""You Know""",
1996,George,All the Way,"""Up 'n Down""",Denniz Pop
1996,George,All the Way,"""The Things You Do""",Denniz Pop
1996,Leila K,,"""Blacklisted""",Denniz Pop
1996,Leila K,,"""C'Mon Now""",Denniz Pop
1996,Leila K,,"""Rude Boy""",Denniz Pop
1997,Backstreet Boys,Backstreet's Back,"""Everybody (Backstreet's Back)""",Denniz Pop
1997,Backstreet Boys,Backstreet's Back,"""As Long as You Love Me""",Kristian Lundin
1997,Backstreet Boys,Backstreet's Back,"""10,000 Promises""",Denniz Pop
1997,Backstreet Boys,Backstreet's Back,"""That's the Way I Like It""",Denniz Pop
1997,DeDe,I Do,"""Get to You""","Per Magnusson, David Kreuger, Kristian Lundin"
1997,Robyn,Robyn Is Here,"""Show Me Love""",
1998,5ive,5ive,"""Don't You Want It""",Denniz Pop
1998,5ive,5ive,"""It's the Things You Do""",Jake
1998,5ive,5ive,"""Until the Time Is Through""",Kristian Lundin
1998,5ive,5ive,"""Slam Dunk (Da Funk)""","Denniz Pop, Jake"
1998,N'Sync,*NSYNC,"""I Want You Back""",Denniz Pop
1998,E-Type,Last Man Standing,"""Angels Crying""","Kristian Lundin, E-Type"
1998,E-Type,Last Man Standing,"""Here I Go Again""","Kristian Lundin, E-Type"
1998,Gary Barlow,Open Road,"""Superhero""",Kristian Lundin
1998,Jessica Folcker,Jessica,"""A Little Bit Longer""",
1998,Jessica Folcker,Jessica,"""Goodbye""",
1998,Jessica Folcker,Jessica,"""Private Eye""",
1998,Jessica Folcker,Jessica,"""Tell Me What You Like""",
1998,Jessica Folcker,Jessica,"""Turned and Walked Away""",
1998,Britney Spears,...Baby One More Time,"""...Baby One More Time""","Denniz Pop, Rami Yacoub"
1999,Backstreet Boys,Millennium,"""I Want It That Way""",Kristian Lundin
1999,Backstreet Boys,Millennium,"""Don't Wanna Lose You Now""",Rami Yacoub
1999,Backstreet Boys,Millennium,"""Don't Want You Back""",Rami Yacoub
1999,Backstreet Boys,Millennium,"""It's Gotta Be You""",Rami Yacoub
1999,Backstreet Boys,Millennium,"""Larger Than Life (Single Mix)""",Rami Yacoub
1999,Backstreet Boys,Millennium,"""Show Me the Meaning of Being Lonely""",Kristian Lundin
1999,Backstreet Boys,Millennium,"""The One""",Kristian Lundin
1999,Britney Spears,...Baby One More Time,"""...Baby One More Time""","Denniz Pop, Rami Yacoub"
1999,Britney Spears,...Baby One More Time,"""(You Drive Me) Crazy""","David Kreuger, Per Magnusson"
1999,Britney Spears,...Baby One More Time,"""(You Drive Me) Crazy (The Stop Remix)""",Rami Yacoub
1999,Britney Spears,...Baby One More Time,"""I Will Be There""",Rami Yacoub
1999,Céline Dion,All the Way... A Decade of Song,"""That's the Way It Is""",Kristian Lundin
1999,Gary Barlow,"Twelve Months, Eleven Days","""For All That You Want""",Kristian Lundin
2000,Backstreet Boys,Black & Blue,"""Get Another Boyfriend""",Rami Yacoub
2000,Backstreet Boys,Black & Blue,"""Shape of My Heart""",Rami Yacoub
2000,Backstreet Boys,Black & Blue,"""The Call""",Rami Yacoub
2000,Britney Spears,Oops!... I Did It Again,"""Oops!... I Did It Again""",Rami Yacoub
2000,Britney Spears,Oops!... I Did It Again,"""Lucky""",Rami Yacoub
2000,Britney Spears,Oops!... I Did It Again,"""Stronger""",Rami Yacoub
2000,Britney Spears,Oops!... I Did It Again,"""Where Are You Now""",Rami Yacoub
2000,Bon Jovi,Crush,"""It’s My Life""",
2001,E-Type,Euro IV Ever,"""Life""","J Amatiello, Rami Yacoub, Kristian Lundin"
2001,Britney Spears,Britney,"""Overprotected""",Rami Yacoub
2001,Britney Spears,Britney,"""Bombastic Love""",Rami Yacoub
2001,Britney Spears,Britney,"""Cinderella""","Rami Yacoub, Britney Spears"
2001,Britney Spears,Britney,"""I'm Not a Girl, Not Yet a Woman""",Rami Yacoub
2002,Nick Carter,Now or Never,"""I Got You""",Rami Yacoub
2002,Nick Carter,Now or Never,"""Blow Your Mind""","Rami Yacoub, Per Aldeheim"
2002,Nick Carter,Now or Never,"""I Just Wanna Take You Home""","Rami Yacoub, Per Aldeheim"
2003,Celine Dion,One Heart,"""Faith""",Rami Yacoub
2003,Celine Dion,One Heart,"""In His Touch""",Rami Yacoub
2003,Celine Dion,One Heart,"""Love Is All We Need""",Rami Yacoub
2004,Kelly Clarkson,Breakaway,"""Since U Been Gone""",Lukasz Gottwald
2004,Kelly Clarkson,Breakaway,"""Behind These Hazel Eyes""",Lukasz Gottwald
2005,A-ha,Analogue,"""Analogue (All I Want)""",Michael Ilbert
2005,Darin Zanyar,The Anthem,"""Stand by Me""",Johan Brorson
2005,Backstreet Boys,Never Gone,"""Climbing the Walls""",Lukasz Gottwald
2005,Backstreet Boys,Never Gone,"""I Still...""",Rami Yacoub
2005,Backstreet Boys,Never Gone,"""Just Want You to Know""",Lukasz Gottwald
2005,Backstreet Boys,Never Gone,"""Siberia""",Rami
2005,Marion Raven,Here I Am,"""Break You""",
2005,Marion Raven,Here I Am,"""End of Me""",Rami Yacoub
2005,Marion Raven,Here I Am,"""Gotta Be Kidding""",Rami Yacoub
2005,Marion Raven,Here I Am,"""Here I Am""",Rami Yacoub
2005,Marion Raven,Here I Am,"""In Spite of Me""",Rami Yacoub
2005,Marion Raven,Here I Am,"""Little by Little""",Rami Yacoub
2005,Marion Raven,Here I Am,"""Six Feet Under""",Rami Yacoub
2005,Bo Bice,The Real Thing,"""U Make Me Better""",Lukasz Gottwald
2005,Bo Bice,The Real Thing,"""Lie ... It's All Right""",Lukasz Gottwald
2006,Ashley Parker Angel,Soundtrack to Your Life,"""Let U Go""",Lukasz Gottwald
2007,Shayne Ward,Breathless,"""If That's OK with You""","Savan Kotecha, Arnthor Birgisson"
2007,James Blunt,All the Lost Souls,"""Carry You Home""",James Blunt
2007,Stanfour,Do It All,"""Do It All""",Per Aldeheim
2007,No Angels,Destiny,"""I Had a Feeling""","Arnthor Birgisson, AJ Junior & Kent Larsson"
2007,Joanna,Hips n Lips,"""Hips n Lips""","Arnthor Birgisson, Savan Kotecha, Rami"
2007,E-Type,Eurotopia,"""True Believer""",E-Type
2007,E-Type,Eurotopia,"""Eurofighter""",E-Type
2008,Pink,Funhouse,"""So What"""
2008,Pink,Funhouse,"""I Don't Believe You""",
2008,Pink,Funhouse,"""Please Don't Leave Me""",
2008,Pink,Funhouse,"""It's All Your Fault""",Shellback
2008,Pink,Funhouse,"""Boring""",Shellback
2008,Britney Spears,Circus,"""If U Seek Amy""",Shellback
2009,Britney Spears,The Singles Collection,"""3""",Shellback
2009,Leona Lewis,Echo,"""Outta My Head""",Shellback
2009,Kelly Clarkson,All I Ever Wanted,"""My Life Would Suck Without You""",Lukasz Gottwald
2009,Backstreet Boys,This Is Us,"""Bigger""",Shellback
2009,Allison Iraheta,Just like You,"""Friday I'll Be Over U""",Shellback
2009,Allison Iraheta,Just like You,"""Just like You""",Shellback
2009,Carrie Underwood,Play On,"""Quitter""","Shellback, Savan Kotecha"
2009,Adam Lambert,For Your Entertainment,"""Whataya Want from Me""",
2009,Adam Lambert,For Your Entertainment,"""If I Had You""","Shellback, Kristian Lundin"
2010,Kesha,Animal,"""Kiss n Tell""","Dr. Luke, Shellback"
2010,Kesha,Animal,"""Hungover""","Dr. Luke, Shellback"
2010,Kesha,Animal,"""D.I.N.O.S.A.U.R.""","Shellback, Benny Blanco"
2010,Miranda Cosgrove,Sparks Fly,"""Oh Oh""",Tom Meredith
2010,Katy Perry,Teenage Dream,"""California Gurls""","Dr. Luke, Benny Blanco"
2010,Katy Perry,Teenage Dream,"""Teenage Dream""","Dr. Luke, Benny Blanco"
2010,Katy Perry,Teenage Dream,"""Last Friday Night (T.G.I.F.)""",Dr. Luke
2010,Katy Perry,Teenage Dream,"""The One That Got Away""",Dr. Luke
2010,Katy Perry,Teenage Dream,"""E.T.""","Dr. Luke, Ammo"
2010,Usher,Versus,"""DJ Got Us Fallin' in Love""",Shellback
2010,Ray J,Raydiation 2,"""1 Thing Leads to Another""","Dr. Luke, Benny Blanco"
2010,Pink,Greatest Hits... So Far!!!,"""Raise Your Glass""",Shellback
2010,Pink,Greatest Hits... So Far!!!,"""Fuckin' Perfect""",Shellback
2010,T.I.,No Mercy,"""That's All She Wrote""",Dr. Luke
2010,Robyn,Body Talk,"""Time Machine""",Shellback
2011,Miranda Cosgrove,High Maintenance,"""Dancing Crazy""",Shellback
2011,Avril Lavigne,Goodbye Lullaby,"""What the Hell""",Shellback
2011,Britney Spears,Femme Fatale,"""Till the World Ends""","Dr. Luke, Billboard, Emily Wright"
2011,Britney Spears,Femme Fatale,"""Hold It Against Me""","Dr. Luke, Billboard"
2011,Britney Spears,Femme Fatale,"""Inside Out""","Dr. Luke, Billboard, Emily Wright"
2011,Britney Spears,Femme Fatale,"""I Wanna Go""",Shellback
2011,Britney Spears,Femme Fatale,"""Seal It with a Kiss""","Dr. Luke, Dream Machine, Emily Wright"
2011,Britney Spears,Femme Fatale,"""Criminal""",Shellback
2011,Britney Spears,Femme Fatale,"""Up n' Down""","Shellback, Oligee"
2011,E-Type,TBA,"""Back 2 Life""",Shellback
2011,Christina Aguilera,Lotus,"""Your Body""",Shellback
2011,Christina Aguilera,Lotus,"""Let There Be Love""",Shellback
2012,Katy Perry,Teenage Dream: The Complete Confection,"""Part of Me""","Dr. Luke, Cirkut"
2012,Vicci Martinez,Vicci,"""Come Along""","Peter Svensson, Joakim Berg"
2012,Vicci Martinez,Vicci,"""Out of Control""","Peter Svensson, Vicci Martinez"
2012,Maroon 5,Overexposed,"""One More Night""",Shellback
2012,Usher,Looking for Myself,"""Scream""",Shellback
2012,Taylor Swift,Red,"""We Are Never Ever Getting back Together""",Shellback
2012,Taylor Swift,Red,"""I Knew You Were Trouble""",Shellback
2012,Taylor Swift,Red,"""22""",Shellback
2012,Ke$ha,Warrior,"""Only Wanna Dance with You""","Dr. Luke, Cirkut"
2012,Ke$ha,Warrior,"""All That Matters (The Beautiful Life)""",Shellback
2013,Backstreet Boys,In a World Like This,"""In a World Like This""",Kristian Lundin
2014,Jessie J,Sweet Talker,"""Bang Bang""","Ilya, Savan Kotecha"
2014,Gavin DeGraw,Finest Hour: The Best of Gavin DeGraw,"""In Love with a Girl""",Gavin DeGraw
2014,Gavin DeGraw,Finest Hour: The Best of Gavin DeGraw,"""Fire""","Gavin DeGraw, Johan Carlsson, Ross Golan"
2014,Colbie Caillat,Gypsy Heart,Nice Guys,"Johan Carlsson, Mag"
2014,Taylor Swift,1989,"""Bad Blood""","Shellback, Ilya Salmanzadeh"
2014,Taylor Swift,1989,"""Blank Space""",Shellback
2014,Taylor Swift,1989,"""Style""","Shellback, Ali Payami"
2014,Taylor Swift,1989,"""Out of the Woods""","Jack Antonoff, Taylor Swift"
2014,Taylor Swift,1989,"""All You Had to Do Was Stay""","Shellback, Mattman & Robin"
2014,Taylor Swift,1989,"""Shake It Off""",Shellback
2014,Taylor Swift,1989,"""I Wish You Would""","Jack Antonoff, Taylor Swift, Greg Kurstin"
2014,Taylor Swift,1989,"""Bad Blood""",Shellback
2014,Taylor Swift,1989,"""Wildest Dreams""",Shellback
2014,Taylor Swift,1989,"""How You Get the Girl""",Shellback
2014,Taylor Swift,1989,"""Wonderland""",Shellback
2014,Taylor Swift,1989,"""You Are in Love""","Jack Antonoff, Taylor Swift"
2014,Taylor Swift,1989,"""New Romantics""",Shellback
2015
2015,The Weeknd,Beauty Behind the Madness,"""Can't Feel My Face""",Ali Payami
2015,The Weeknd,Beauty Behind the Madness,"""Shameless""","Ali Payami, Peter Svensson, The Weeknd"
2015,The Weeknd,Beauty Behind the Madness,"""In the Night""","Ali Payami, The Weeknd"
2015,Tori Kelly,Unbreakable Smile,"""Nobody Love""",Rickard Göransson
2015,Tori Kelly,Unbreakable Smile,"""California Lovers""",Ali Payami
2015,Tori Kelly,Unbreakable Smile,"""Expensive""",Lulou
2015,Adam Lambert,The Original High,"""Ghost Town""",Ali Payami
2015,Adam Lambert,The Original High,"""Another Lonely Night""",Ali Payami
2015,Adam Lambert,The Original High,"""Lucy""","Ali Payami, Fredrik Samsson"
2015,Demi Lovato,Confident,"""Cool for the Summer""",Ali Payami
2015,Demi Lovato,Confident,"""Confident""",Ilya Salmanzadeh
2015,Ariana Grande,Dangerous Woman (Japan exclusive version),"""Focus""",Ilya Salmanzadeh
2015,Ellie Goulding,Delirium,"""On My Mind""",Ilya Salmanzadeh
2015,Ellie Goulding,Delirium,"""Love Me like You Do""",Ali Payami
2015,Ellie Goulding,Delirium,"""Army""",Ali Payami
2015,Ellie Goulding,Delirium,"""Lost and Found""","Carl Falk, Kristian Lundin"
2016,Ariana Grande,Dangerous Woman,"""Dangerous Woman""",Johan Carlsson
2016,Ariana Grande,Dangerous Woman,"""Into You""",Ilya Salmanzadeh
2016,Ariana Grande,Dangerous Woman,"""Side to Side""",Ilya Salmanzadeh
2016,Ariana Grande,Dangerous Woman,"""Greedy""",Ilya Salmanzadeh
2016,Ariana Grande,Dangerous Woman,"""Sometimes""",Ilya Salmanzadeh
2016,Ariana Grande,Dangerous Woman,"""Bad Decisions""",Ilya Salmanzadeh
2016,Ariana Grande,Dangerous Woman,"""Touch It""",Ali Payami
2016,Justin Timberlake,Trolls: Original Motion Picture Soundtrack,"""Can't Stop the Feeling!""","Shellback, Justin Timberlake"
2016,P!nk,Alice Through the Looking Glass,"""Just Like Fire""","Shellback, Oscar Holter"
2016,Katy Perry,N/A,"""Rise""",Ali Payami
2017,Katy Perry,Witness,"""Chained to the Rhythm""",Ali Payami
2017,Katy Perry,Witness,"""Bon Appétit""","Shellback, Oscar Holter"
2017,Katy Perry,Witness,"""Witness""",Ali Payami
2017,Katy Perry,Witness,"""Hey Hey Hey""",Ali Payami
2017,Katy Perry,Witness,"""Roulette""","Shellback, Ali Payami"
2017,Taylor Swift,Reputation,"''...Ready For It?""","Shellback, Ali Payami"
2017,Taylor Swift,Reputation,"""End Game""",Shellback
2017,Taylor Swift,Reputation,"""I Did Something Bad''",Shellback
2017,Taylor Swift,Reputation,"""Don't Blame Me''",Shellback
2017,Taylor Swift,Reputation,''Delicate'',Shellback
2017,Taylor Swift,Reputation,"""So It Goes...""","Shellback, Oscar Görres"
2017,Taylor Swift,Reputation,"""Gorgeous""",Shellback
2017,Taylor Swift,Reputation,"""King of My Heart""",Shellback
2017,Taylor Swift,Reputation,"""Dancing With Our Hands Tied""","Shellback, Oscar Holter"
2018,Ariana Grande,Sweetener,''Raindrops (An Angel Cried)'',Ilya Salmanzadeh
2018,Ariana Grande,Sweetener,''Everytime'',Ilya Salmanzadeh
2018,Ariana Grande,Sweetener,''No Tears Left To Cry'',Ilya Salmanzadeh
2019,Ariana Grande,"Thank U, Next",''Bloodline'',Ilya Salmanzadeh
2019,Ariana Grande,"Thank U, Next",''Bad Idea'',Ilya Salmanzadeh
2019,Ariana Grande,"Thank U, Next",''Ghostin'',Ilya Salmanzadeh
2019,Ariana Grande,"Thank U, Next","''Break Up With Your Girlfriend, I'm Bored''",Ilya Salmanzadeh
2019,Ed Sheeran and Justin Bieber,TBA,"""I Don't Care""","Shellback, Fred Gibson"
